板块,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,所属行业
主板,002214,大立科技,2008-02-18,"598,662,687","478,443,653",C 制造业
主板,002215,诺 普 信,2008-02-18,"1,004,258,810","808,061,974",C 制造业
主板,002216,三全食品,2008-02-20,"879,184,048","630,502,389",C 制造业
主板,002217,ST合力泰,2008-02-20,"7,479,398,928","7,279,035,526",C 制造业
主板,002218,拓日新能,2008-02-28,"1,408,300,149","1,387,677,849",C 制造业
主板,002219,新里程,2008-03-06,"3,451,921,753","3,271,867,820",Q 卫生
主板,002221,东华能源,2008-03-06,"1,576,127,767","1,461,003,187",F 批发零售
主板,002222,福晶科技,2008-03-19,"470,250,000","467,497,309",C 制造业
主板,002223,鱼跃医疗,2008-04-18,"1,002,476,929","944,429,674",C 制造业
主板,002224,三 力 士,2008-04-25,"902,116,324","806,380,369",C 制造业
主板,002225,濮耐股份,2008-04-25,"1,159,239,147","974,929,053",C 制造业
主板,002226,江南化工,2008-05-06,"2,648,922,855","2,648,918,190",C 制造业
主板,002227,*ST特迅,2008-05-06,"247,806,170","245,936,766",C 制造业
主板,002228,合兴包装,2008-05-08,"1,213,385,629","1,209,321,709",C 制造业
主板,002229,鸿博股份,2008-05-08,"496,191,488","493,164,301",C 制造业
主板,002230,科大讯飞,2008-05-12,"2,402,079,841","2,189,966,940",I 信息技术
主板,002232,启明信息,2008-05-09,"408,548,455","408,537,416",I 信息技术
主板,002233,塔牌集团,2008-05-16,"1,174,150,508","1,173,623,408",C 制造业
主板,002234,民和股份,2008-05-16,"348,960,212","301,408,639",A 农林牧渔
主板,002235,安妮股份,2008-05-16,"579,572,284","553,578,302",C 制造业
主板,002236,大华股份,2008-05-20,"3,269,262,074","2,391,139,515",C 制造业
主板,002237,恒邦股份,2008-05-20,"1,429,970,408","1,192,356,008",C 制造业
主板,002238,天威视讯,2008-05-26,"802,559,160","802,559,160",I 信息技术
主板,002239,奥特佳,2008-05-22,"3,513,494,914","3,266,152,096",C 制造业
主板,002240,盛新锂能,2008-05-23,"915,293,872","912,801,222",C 制造业
主板,002241,歌尔股份,2008-05-22,"3,556,681,859","3,150,121,032",C 制造业
主板,002242,九阳股份,2008-05-28,"763,017,000","761,765,625",C 制造业
主板,002243,力合科创,2008-05-28,"1,210,604,219","1,204,140,040",C 制造业
主板,002244,滨江集团,2008-05-29,"3,111,443,890","2,757,549,340",K 房地产
主板,002245,蔚蓝锂芯,2008-06-05,"1,710,171,874","1,609,098,738",C 制造业
主板,002246,北化股份,2008-06-05,"549,034,794","549,034,794",C 制造业
主板,002247,聚力文化,2008-06-12,"850,870,049","643,540,672",C 制造业
主板,002248,华东数控,2008-06-12,"307,495,600","307,493,050",C 制造业
主板,002249,大洋电机,2008-06-19,"2,473,782,295","1,870,141,029",C 制造业
主板,002250,联化科技,2008-06-19,"899,873,217","895,369,756",C 制造业
主板,002251,步步高,2008-06-19,"2,688,699,689","2,222,472,119",F 批发零售
主板,002252,上海莱士,2008-06-23,"6,592,672,885","6,588,257,785",C 制造业
主板,002253,川大智胜,2008-06-23,"225,626,095","209,949,008",I 信息技术
主板,002254,泰和新材,2008-06-25,"851,528,183","850,572,908",C 制造业
主板,002255,海陆重工,2008-06-25,"830,881,055","637,944,743",C 制造业
主板,002256,兆新股份,2008-06-25,"2,040,636,125","2,014,346,926",D 水电煤气
主板,002258,利尔化学,2008-07-08,"800,437,228","799,080,895",C 制造业
主板,002259,升达林业,2008-07-16,"752,328,267","752,328,267",D 水电煤气
主板,002261,拓维信息,2008-07-23,"1,259,968,174","1,146,105,481",I 信息技术
主板,002262,恩华药业,2008-07-23,"1,015,786,583","883,765,505",C 制造业
主板,002263,大东南,2008-07-28,"1,878,360,100","1,878,345,100",C 制造业
主板,002264,新 华 都,2008-07-31,"719,811,300","650,907,872",I 信息技术
主板,002265,建设工业,2008-08-06,"1,033,040,407","1,033,036,657",C 制造业
主板,002266,浙富控股,2008-08-06,"5,219,271,402","4,842,585,229",N 公共环保
主板,002267,陕天然气,2008-08-13,"1,112,075,445","1,112,075,445",D 水电煤气
主板,002268,电科网安,2008-08-11,"845,636,083","845,174,533",I 信息技术
主板,002269,美邦服饰,2008-08-28,"2,512,500,000","2,343,729,075",C 制造业
主板,002270,华明装备,2008-09-05,"896,225,431","896,225,431",C 制造业
主板,002271,东方雨虹,2008-09-10,"2,388,699,866","1,950,672,787",C 制造业
主板,002272,川润股份,2008-09-19,"484,877,300","418,876,142",C 制造业
主板,002273,水晶光电,2008-09-19,"1,390,632,221","1,366,081,377",C 制造业
主板,002274,华昌化工,2008-09-25,"952,364,646","937,849,130",C 制造业
主板,002275,桂林三金,2009-07-10,"587,568,600","564,751,305",C 制造业
主板,002276,万马股份,2009-07-10,"1,011,075,446","1,007,318,046",C 制造业
主板,002277,友阿股份,2009-07-17,"1,394,172,800","1,394,172,050",F 批发零售
主板,002278,神开股份,2009-08-11,"388,617,914","358,821,112",C 制造业
主板,002279,久其软件,2009-08-11,"862,206,871","796,088,373",I 信息技术
主板,002281,光迅科技,2009-08-21,"827,848,838","786,029,752",C 制造业
主板,002282,博深股份,2009-08-21,"526,838,348","509,536,318",C 制造业
主板,002283,天润工业,2009-08-21,"1,139,457,178","1,008,903,532",C 制造业
主板,002284,亚太股份,2009-08-28,"739,100,348","732,188,348",C 制造业
主板,002285,世联行,2009-08-28,"1,992,829,038","1,979,009,381",K 房地产
主板,002286,保龄宝,2009-08-28,"379,977,380","369,689,568",C 制造业
主板,002287,奇正藏药,2009-08-28,"572,118,203","570,989,795",C 制造业
主板,002289,宇顺电子,2009-09-03,"280,253,733","274,431,233",C 制造业
主板,002290,禾盛新材,2009-09-03,"248,112,330","247,286,818",C 制造业
主板,002291,遥望科技,2009-09-03,"935,130,353","869,125,270",I 信息技术
主板,002292,奥飞娱乐,2009-09-10,"1,478,699,697","1,017,883,481",C 制造业
主板,002293,罗莱生活,2009-09-10,"837,428,881","830,457,438",C 制造业
主板,002294,信立泰,2009-09-10,"1,114,816,535","1,114,654,011",C 制造业
主板,002295,精艺股份,2009-09-29,"250,616,000","250,426,925",C 制造业
主板,002296,辉煌科技,2009-09-29,"389,580,420","347,415,444",C 制造业
主板,002297,博云新材,2009-09-29,"573,104,819","573,104,819",C 制造业
主板,002298,中电鑫龙,2009-09-29,"740,110,901","665,324,262",C 制造业
主板,002299,圣农发展,2009-10-21,"1,242,770,322","1,218,599,736",C 制造业
主板,002300,太阳电缆,2009-10-21,"722,333,700","722,291,810",C 制造业
主板,002301,齐心集团,2009-10-21,"724,007,933","717,988,723",C 制造业
主板,002302,西部建设,2009-11-03,"1,262,354,304","1,262,352,729",C 制造业
主板,002303,美盈森,2009-11-03,"1,531,323,685","1,067,363,525",C 制造业
主板,002304,洋河股份,2009-11-06,"1,506,445,074","1,506,409,974",C 制造业
主板,002305,*ST南置,2009-11-06,"1,734,215,770","1,734,215,770",K 房地产
主板,002306,ST云网,2009-11-11,"869,762,500","812,688,543",H 住宿餐饮
主板,002307,北新路桥,2009-11-11,"1,648,779,056","1,629,123,037",E 建筑业
主板,002309,中利集团,2009-11-27,"3,007,665,385","2,406,132,308",C 制造业
主板,002310,东方新能,2009-11-27,"5,999,322,117","4,399,230,617",D 水电煤气
主板,002311,海大集团,2009-11-27,"1,656,465,373","1,654,870,556",C 制造业
主板,002312,川发龙蟒,2009-12-03,"1,887,709,244","1,884,636,265",C 制造业
主板,002313,日海智能,2009-12-03,"374,400,000","374,379,300",C 制造业
主板,002314,南山控股,2009-12-03,"2,707,782,513","1,338,333,414",K 房地产
主板,002315,焦点科技,2009-12-09,"413,182,672","264,027,359",I 信息技术
主板,002316,亚联发展,2009-12-09,"393,120,000","340,785,000",I 信息技术
主板,002317,众生药业,2009-12-11,"849,930,477","768,022,331",C 制造业
主板,002318,久立特材,2009-12-11,"977,170,720","954,025,099",C 制造业
主板,002319,乐通股份,2009-12-11,"209,472,510","209,472,510",C 制造业
主板,002320,海峡股份,2009-12-16,"2,236,834,324","2,235,989,337",G 运输仓储
主板,002321,华英农业,2009-12-16,"2,132,890,071","2,125,250,009",A 农林牧渔
主板,002322,理工能科,2009-12-18,"365,527,970","351,399,679",I 信息技术
主板,002323,*ST雅博,2009-12-18,"2,120,855,142","2,120,490,942",E 建筑业
主板,002324,普利特,2009-12-18,"1,112,336,248","776,228,462",C 制造业
主板,002326,永太科技,2009-12-22,"925,127,636","811,476,829",C 制造业
主板,002327,富安娜,2009-12-30,"833,867,839","490,983,369",C 制造业
主板,002328,新朋股份,2009-12-30,"771,770,000","570,685,896",C 制造业
主板,002329,皇氏集团,2010-01-06,"832,403,985","651,496,424",C 制造业
主板,002330,得利斯,2010-01-06,"635,315,290","635,039,340",C 制造业
主板,002331,皖通科技,2010-01-06,"428,409,749","402,078,596",I 信息技术
主板,002332,仙琚制药,2010-01-12,"989,204,866","985,714,191",C 制造业
主板,002333,罗普斯金,2010-01-12,"674,924,800","666,502,713",C 制造业
主板,002334,英威腾,2010-01-13,"820,058,600","735,012,094",C 制造业
主板,002335,科华数据,2010-01-13,"754,410,409","660,074,053",C 制造业
主板,002337,赛象科技,2010-01-15,"588,615,750","587,817,585",C 制造业
主板,002338,奥普光电,2010-01-15,"240,000,000","239,999,925",C 制造业
主板,002339,积成电子,2010-01-22,"504,092,274","479,012,979",C 制造业
主板,002340,格林美,2010-01-22,"5,102,359,661","5,075,981,882",C 制造业
主板,002342,巨力索具,2010-01-26,"960,000,000","954,690,000",C 制造业
主板,002343,慈文传媒,2010-01-26,"473,680,286","473,680,286",R 文化传播
主板,002344,海宁皮城,2010-01-26,"1,282,616,960","1,281,450,092",L 商务服务
主板,002345,潮宏基,2010-01-28,"888,512,707","867,218,265",C 制造业
主板,002346,柘中股份,2010-01-28,"441,575,416","441,575,416",C 制造业
主板,002347,泰尔股份,2010-01-28,"504,702,276","493,382,901",C 制造业
